19:13 $ vw-varinfo ~/Documents/scratch/OpenNMT-py/vw/discriminator/data/wmt16_train.vw
FeatureName            HashVal   MinVal   MaxVal    Weight   RelScore
&                       256145     0.00     0.00   +0.2265     14.27%
sun                      93403     0.00     0.00   +0.2264     14.26%
carrying                127996     0.00     0.00   +0.2262     14.25%
break                    12775     0.00     0.00   +0.2262     14.25%
bricked                 226459     0.00     0.00   +0.2262     14.24%
costumes                226459     0.00     0.00   +0.2262     14.24%
Bikers                  259887     0.00     0.00   +0.2261     14.24%
races                   110601     0.00     0.00   +0.2261     14.24%
brightly                 62371     0.00     0.00   +0.2258     14.23%
shop                    184056     0.00     0.00   +0.2255     14.20%
scenery                  88120     0.00     0.00   +0.2252     14.19%
hill                    242720     0.00     0.00   +0.2249     14.16%
Lady                    261815     0.00     0.00   +0.2244     14.14%
solution                261815     0.00     0.00   +0.2244     14.14%
seem                    225685     0.00     0.00   +0.2242     14.12%
roadwork                157396     0.00     0.00   +0.2235     14.08%
constructing            120122     0.00     0.00   +0.2234     14.07%
resting                 117238     0.00     0.00   +0.2233     14.07%
hose                    114257     0.00     0.00   +0.2233     14.07%
ride                    214875     0.00     0.00   +0.2233     14.06%
sorting                 236715     0.00     0.00   +0.2231     14.05%
smiles                  219104     0.00     0.00   +0.2229     14.04%
uniforms                168293     0.00     0.00   +0.2222     14.00%
grinding                191674     0.00     0.00   +0.2215     13.95%
sell                    219173     0.00     0.00   +0.2214     13.94%
members                 125848     0.00     0.00   +0.2213     13.94%
pick                    150765     0.00     0.00   +0.2207     13.90%
giving                  236457     0.00     0.00   +0.2207     13.90%
Brunette                 84717     0.00     0.00   +0.2205     13.89%
blocks                   38562     0.00     0.00   +0.2195     13.83%
ramp                     34288     0.00     0.00   +0.2191     13.80%
teaching                 71391     0.00     0.00   +0.2189     13.79%
seems                   234618     0.00     0.00   +0.2175     13.70%
team                     75357     0.00     0.00   +0.2171     13.68%
ornate                  118055     0.00     0.00   +0.2170     13.67%
racer                    55101     0.00     0.00   +0.2169     13.66%
Bicyclist               259472     0.00     0.00   +0.2169     13.66%
checking                101503     0.00     0.00   +0.2167     13.65%
young                    63914     0.00     0.00   +0.2164     13.63%
market                   57136     0.00     0.00   +0.2162     13.62%
karate                  164072     0.00     0.00   +0.2160     13.61%
Dirt                    230800     0.00     0.00   +0.2158     13.59%
attire                   83024     0.00     0.00   +0.2154     13.57%
bridge                  236646     0.00     0.00   +0.2150     13.54%
lying                    19431     0.00     0.00   +0.2149     13.54%
in                       42257     0.00     0.00   +0.2148     13.53%
observe                  70175     0.00     0.00   +0.2147     13.52%
You                     141932     0.00     0.00   +0.2144     13.51%
black                   143442     0.00     0.00   +0.2141     13.49%
nationality             143442     0.00     0.00   +0.2141     13.49%
brush                   112698     0.00     0.00   +0.2139     13.48%
Chinese                  84829     0.00     0.00   +0.2138     13.47%
Elderly                 139502     0.00     0.00   +0.2129     13.41%
relaxing                136225     0.00     0.00   +0.2127     13.40%
talking                   2695     0.00     0.00   +0.2127     13.40%
helicopter              182049     0.00     0.00   +0.2122     13.37%
pyramid                  66841     0.00     0.00   +0.2119     13.35%
skateboards              66841     0.00     0.00   +0.2119     13.35%
paper                    17525     0.00     0.00   +0.2119     13.35%
colored                  98948     0.00     0.00   +0.2116     13.33%
frame                   260489     0.00     0.00   +0.2115     13.32%
multicolored            199767     0.00     0.00   +0.2113     13.31%
glasses                 247259     0.00     0.00   +0.2109     13.28%
Parade                    7005     0.00     0.00   +0.2106     13.26%
personnel               196091     0.00     0.00   +0.2101     13.24%
battling                 81221     0.00     0.00   +0.2098     13.21%
ice                      81221     0.00     0.00   +0.2098     13.21%
Firemen                  10785     0.00     0.00   +0.2096     13.20%
grass                    27433     0.00     0.00   +0.2093     13.18%
competition              54930     0.00     0.00   +0.2088     13.15%
routine                 135611     0.00     0.00   +0.2088     13.15%
arena                   128277     0.00     0.00   +0.2087     13.15%
repair                  110733     0.00     0.00   +0.2086     13.14%
ceremony                257273     0.00     0.00   +0.2086     13.14%
chefs                    60621     0.00     0.00   +0.2084     13.13%
traffic                  17057     0.00     0.00   +0.2082     13.11%
tourists                 63320     0.00     0.00   +0.2078     13.09%
tile                    117836     0.00     0.00   +0.2078     13.09%
hiking                    1984     0.00     0.00   +0.2077     13.08%
Red                     168321     0.00     0.00   +0.2077     13.08%
Hikers                   35276     0.00     0.00   +0.2075     13.07%
musicians                84714     0.00     0.00   +0.2073     13.06%
Adults                  153637     0.00     0.00   +0.2067     13.02%
Music                   104354     0.00     0.00   +0.2064     13.00%
rider                    91647     0.00     0.00   +0.2063     12.99%
catch                   261498     0.00     0.00   +0.2062     12.99%
view                    239138     0.00     0.00   +0.2059     12.97%
floor                   116796     0.00     0.00   +0.2055     12.94%
fixing                  142145     0.00     0.00   +0.2050     12.91%
Blond                    26405     0.00     0.00   +0.2045     12.88%
Attractive                4414     0.00     0.00   +0.2045     12.88%
puck                    209157     0.00     0.00   +0.2042     12.86%
zombies                 171410     0.00     0.00   +0.2042     12.86%
pushing                 261553     0.00     0.00   +0.2041     12.86%
station                 202367     0.00     0.00   +0.2040     12.85%
warm                     66630     0.00     0.00   +0.2039     12.84%
Closeup                  52594     0.00     0.00   +0.2039     12.84%
customers               177417     0.00     0.00   +0.2038     12.84%
reads                   257269     0.00     0.00   +0.2037     12.83%
football                 61418     0.00     0.00   +0.2036     12.83%
